statistic,business_applications,disaster_count
count,13464.0,13770.0
mean,5715.136809269162,0.20907770515613652
std,7853.6927246491105,0.7597176049946236
min,237.0,0.0
25%,1285.0,0.0
50%,3281.5,0.0
75%,6435.25,0.0
max,83425.0,20.0
